feature,importance
meta_target_9_8_vs_target_5_1,0.10135471294898027
num_feature_777,0.10131585114651707
meta_target_1_4_vs_target_2_6,0.10122460345180229
meta_target_7_1_vs_target_2_1,0.10002645765916655
int_27_x_76,0.09997109322774937
num_feature_30,0.0999345870644307
num_feature_1128,0.09909909471038426
num_feature_157,0.09895088674311614
num_feature_1984,0.0986778459873623
num_feature_338,0.09839100360163583
meta_target_2_1_vs_target_9_2,0.098261105827836
num_feature_1413,0.09793644991036263
is_null_num_feature_1106,0.09726639185826798
meta_target_7_1_vs_target_1_4,0.09691826262394795
num_feature_1604,0.09683036715159853
is_null_num_feature_117,0.09625650772690288
meta_target_6_2_vs_target_10_1,0.096174164120752
meta_target_5_2_vs_target_6_2,0.09595712520955335
num_feature_1445,0.09594096954994773
num_feature_374,0.09594026226641487
meta_target_2_7_vs_target_1_3,0.09591658386598526
meta_target_6_1_vs_target_9_6,0.09524502023155744
meta_target_8_3_vs_target_2_1,0.0946856609129636
meta_target_1_2_vs_target_8_2,0.09451887431386427
meta_target_2_2_vs_target_9_8,0.09438301709737734
meta_target_4_1_vs_target_9_6,0.09414518877749632
int_23_x_117,0.0937951881308544
meta_target_1_4_vs_target_3_2,0.09309144907255705
is_null_num_feature_2282,0.09281233333027517
meta_target_9_7_vs_target_6_3,0.09252366686605891
meta_target_2_8_vs_target_2_7,0.09239922371112347
meta_target_3_5_vs_target_1_4,0.09221178579774561
meta_target_9_5_vs_target_9_4,0.09204657269024466
meta_target_1_3_vs_target_2_7,0.09174464479985855
is_null_num_feature_2265,0.09165144650114383
meta_target_9_2_vs_target_9_5,0.09086762076467958
meta_target_2_6_vs_target_2_2,0.0906916106240713
num_feature_2040,0.09053428486747207
meta_target_2_3_vs_target_6_1,0.09006503989221197
meta_target_1_2_vs_target_2_2,0.08981656406859108
meta_target_6_4_vs_target_3_4,0.0897808904964482
num_feature_1020,0.08869316016098533
meta_target_6_4_vs_target_9_3,0.08837110891877335
meta_target_5_1_vs_target_9_1,0.08784932925375483
meta_target_1_5_vs_target_8_2,0.08767623391278613
num_feature_1031,0.08765569858076105
meta_target_2_2_vs_target_7_1,0.0875873408117975
meta_target_3_5_vs_target_1_3,0.08743251434881634
meta_target_1_5_vs_target_8_1,0.08715218973340295
meta_target_1_1_vs_target_5_2,0.08709775087432636
num_feature_467,0.08704065275812538
meta_target_1_2_vs_target_1_5,0.08701147321833114
meta_target_7_3_vs_target_9_7,0.08679897622385159
num_feature_701,0.08594277482870755
num_feature_2080,0.0858467954572967
meta_target_2_2_vs_target_1_5,0.08579295077383665
meta_target_9_7_vs_target_9_1,0.08513601372931247
meta_target_9_7_vs_target_9_2,0.08495957903629091
int_25_x_76,0.08482694283881878
num_feature_2058,0.08470088640391485
meta_target_8_1_vs_target_5_1,0.08445019301986946
meta_target_8_1_vs_target_9_3,0.08443728629907335
meta_target_7_3_vs_target_2_6,0.08389392035771699
meta_target_2_2_vs_target_2_5,0.08377896947486806
meta_target_2_8_vs_target_2_5,0.08296461689067625
meta_target_9_2_vs_target_6_4,0.08264748572271198
meta_target_9_3_vs_target_9_6,0.08254729485464841
meta_target_3_5_vs_target_2_3,0.08251581374707372
meta_target_1_2_vs_target_9_1,0.08158503685928012
num_feature_890,0.0808470193833975
meta_target_2_1_vs_target_9_7,0.08069415612685266
num_feature_85,0.0806270232255611
num_feature_219,0.08033035109039535
meta_target_9_5_vs_target_9_2,0.0799397928913361
num_feature_2258,0.07983478796525867
meta_target_2_1_vs_target_7_1,0.0791094877069483
num_feature_15,0.07876241930591282
meta_target_9_5_vs_target_9_3,0.078245738174892
num_feature_1668,0.07823493890337158
meta_target_6_3_vs_target_10_1,0.07772233279150917
meta_target_7_1_vs_target_10_1,0.07738838339083196
is_null_num_feature_1459,0.07731023101426185
meta_target_3_5_vs_target_6_4,0.07675753905735389
meta_target_2_3_vs_target_8_1,0.07647377565133683
meta_target_2_6_vs_target_6_3,0.07642101288391957
meta_target_1_1_vs_target_9_7,0.07633013055204405
meta_target_7_3_vs_target_3_3,0.07591880202963777
null_pca_5,0.07558799627844849
num_feature_1592,0.0755253381357524
meta_target_9_4_vs_target_2_2,0.07519470796084068
meta_target_8_3_vs_target_2_3,0.07450013978928385
meta_target_9_3_vs_target_8_1,0.07427778701640361
num_feature_73,0.07410814600479014
meta_target_3_4_vs_target_6_5,0.07369961342753886
num_feature_1052,0.07365957654297131
num_feature_623,0.07354701791917717
meta_target_9_2_vs_target_2_7,0.0732750714902799
meta_target_2_7_vs_target_6_5,0.0728382591834019
meta_target_1_2_vs_target_1_1,0.07276624339612696
num_feature_817,0.07198617731620553
meta_target_2_2_vs_target_2_4,0.07184190494907117
meta_target_2_3_vs_target_2_7,0.0715847527873124
num_feature_812,0.07143923457417972
num_feature_2079,0.0714379652926518
meta_target_3_5_vs_target_6_1,0.07133843679475785
num_feature_51,0.07112214573023193
num_feature_1909,0.0707726776133964
num_feature_2209,0.07046698485061781
meta_target_4_1_vs_target_9_7,0.07002666766920874
num_feature_103,0.06976957033492495
meta_target_4_1_vs_target_10_1,0.06959604764321026
int_18_x_95,0.06930260916427526
num_feature_68,0.06927991309050298
meta_target_7_2_vs_target_8_1,0.06920697310085137
int_31_x_90,0.06878939645676108
meta_target_9_1_vs_target_2_1,0.06864075613665063
meta_target_1_3_vs_target_2_5,0.06856764233159052
meta_target_7_1_vs_target_9_5,0.06852472081442122
meta_target_2_4_vs_target_2_5,0.0681531519945464
num_feature_119,0.06814836685493651
num_feature_2350,0.06795965221437525
num_feature_2059,0.06795813255683927
int_36_x_130,0.0679546274099917
meta_target_6_3_vs_target_7_1,0.06794460117061576
meta_target_1_3_vs_target_7_1,0.06783300415886183
meta_target_7_3_vs_target_5_1,0.06764264494796417
meta_target_8_2_vs_target_9_8,0.06747685270024338
meta_target_1_5_vs_target_1_4,0.06745232974195396
meta_target_9_2_vs_target_1_3,0.0668411770456021
null_pca_6,0.06682267564656258
meta_target_1_5_vs_target_2_5,0.06637480603223103
meta_target_2_4_vs_target_3_5,0.06590122573912123
num_feature_1790,0.0657235661986454
meta_target_1_4_vs_target_2_4,0.06515934872256215
meta_target_8_2_vs_target_4_1,0.06413313251691989
num_feature_1263,0.0640225360893547
meta_target_2_4_vs_target_2_3,0.06391399865294872
meta_target_2_3_vs_target_3_1,0.06387292881193106
meta_target_6_3_vs_target_4_1,0.06375066280747713
meta_target_2_1_vs_target_5_1,0.06352379329876207
meta_target_7_2_vs_target_2_2,0.06350959001323173
